Age,1yr Prob,2yr Prob,3yr Prob,4yr Prob,5yr Prob
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.001034661056123709
13,0.0,0.0,0.0,0.001034661056123709,0.001034661056123709
14,0.0,0.0,0.001034661056123709,0.001034661056123709,0.001034661056123709
15,0.0,0.001034661056123709,0.001034661056123709,0.001034661056123709,0.001034661056123709
16,0.001034661056123709,0.001034661056123709,0.001034661056123709,0.001034661056123709,0.001034661056123709
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0011897678548096202
21,0.0,0.0,0.0,0.0011897678548096202,0.0011897678548096202
22,0.0,0.0,0.0011897678548096202,0.0011897678548096202,0.0011897678548096202
23,0.0,0.0011897678548096202,0.0011897678548096202,0.0011897678548096202,0.0024011809653392557
24,0.0011897678548096202,0.0011897678548096202,0.0011897678548096202,0.0024011809653392557,0.0024011809653392557
25,0.0,0.0,0.0012128561277630068,0.0012128561277630068,0.0023817116336908306
26,0.0,0.0012128561277630068,0.0012128561277630068,0.0023817116336908306,0.0023817116336908306
27,0.0012128561277630068,0.0012128561277630068,0.0023817116336908306,0.0023817116336908306,0.0035990614378407226
28,0.0,0.00117027488098842,0.00117027488098842,0.002389102948228361,0.002389102948228361
29,0.00117027488098842,0.00117027488098842,0.002389102948228361,0.002389102948228361,0.006613278262364464
30,0.0,0.0012202561023048064,0.0012202561023048064,0.005449380654673153,0.005449380654673153
31,0.0012202561023048064,0.0012202561023048064,0.005449380654673153,0.005449380654673153,0.006704333950951491
32,0.0,0.004234291472376417,0.004234291472376417,0.005490778004012431,0.006699907608165523
33,0.004234291472376417,0.004234291472376417,0.005490778004012431,0.006699907608165523,0.008822342894620916
34,0.0,0.0012618294854659373,0.0024761006677312958,0.004607561179254316,0.005646050849036244
35,0.0012618294854659373,0.0024761006677312958,0.004607561179254316,0.005646050849036244,0.005646050849036244
36,0.001215805321268304,0.003349958770540118,0.004389760492794159,0.004389760492794159,0.004389760492794159
37,0.0021367513229004764,0.0031778187805092672,0.0031778187805092672,0.0031778187805092672,0.0031778187805092672
38,0.0010432967232624213,0.0010432967232624213,0.0010432967232624213,0.0010432967232624213,0.0036617924783147737
39,0.0,0.0,0.0,0.002621230476219094,0.002621230476219094
40,0.0,0.0,0.002621230476219094,0.002621230476219094,0.002621230476219094
41,0.0,0.002621230476219094,0.002621230476219094,0.002621230476219094,0.0038149811050485205
42,0.002621230476219094,0.002621230476219094,0.002621230476219094,0.0038149811050485205,0.006158944772702513
43,0.0,0.0,0.0011968879479953287,0.0035470118319969046,0.007000918205563589
44,0.0,0.0011968879479953287,0.0035470118319969046,0.007000918205563589,0.008114770115398962
