Age,1yr Prob,2yr Prob,3yr Prob,4yr Prob,5yr Prob
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.00823040602208025
13,0.0,0.0,0.0,0.00823040602208025,0.00823040602208025
14,0.0,0.0,0.00823040602208025,0.00823040602208025,0.00823040602208025
15,0.0,0.00823040602208025,0.00823040602208025,0.00823040602208025,0.00823040602208025
16,0.00823040602208025,0.00823040602208025,0.00823040602208025,0.00823040602208025,0.00823040602208025
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0111730674675794
20,0.0,0.0,0.0,0.0111730674675794,0.0111730674675794
21,0.0,0.0,0.0111730674675794,0.0111730674675794,0.0111730674675794
22,0.0,0.0111730674675794,0.0111730674675794,0.0111730674675794,0.0111730674675794
23,0.0111730674675794,0.0111730674675794,0.0111730674675794,0.0111730674675794,0.0111730674675794
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.008510586709241985
28,0.0,0.0,0.0,0.008510586709241985,0.025753442440836216
29,0.0,0.0,0.008510586709241985,0.025753442440836216,0.025753442440836216
30,0.0,0.008510586709241985,0.025753442440836216,0.025753442440836216,0.054265910241272364
31,0.008510586709241985,0.025753442440836216,0.025753442440836216,0.054265910241272364,0.054265910241272364
32,0.017390862172057986,0.017390862172057986,0.0461480706890941,0.0461480706890941,0.0461480706890941
33,0.0,0.029266172489097686,0.029266172489097686,0.029266172489097686,0.04544469196620948
34,0.029266172489097686,0.029266172489097686,0.029266172489097686,0.04544469196620948,0.07807582792990508
35,0.0,0.0,0.01666627763307249,0.05028119352342153,0.0737298344036752
36,0.0,0.01666627763307249,0.05028119352342153,0.0737298344036752,0.08218886361333444
37,0.01666627763307249,0.05028119352342153,0.0737298344036752,0.08218886361333444,0.0898692465252473
38,0.03418464670309129,0.058030712740378965,0.06663311192312837,0.07444366772652933,0.09241506515241593
39,0.024690087971667385,0.03359696562005454,0.041683972910567024,0.06029146073372027,0.06864437028316084
40,0.009132356329552449,0.017424087184306103,0.03650262580435926,0.045066990265773654,0.05348044229336557
41,0.008368151798800127,0.027622528245467626,0.036265826385358024,0.044756821203219,0.0629513739849209
42,0.01941685967589135,0.028133096609556985,0.03669574496868688,0.05504383737284524,0.06391659969392904
43,0.008888830100408085,0.01762103036677176,0.036332439577921205,0.04538089447808513,0.05304847642654009
44,0.008810515441217692,0.027689738861780167,0.03681934528229969,0.04455569432297468,0.06258240549321603
45,0.019047037639797315,0.028257795585422074,0.036062911722341884,0.054249859274822954,0.054249859274822954
46,0.009389602049280077,0.017346269123448832,0.03588635029994358,0.03588635029994358,0.03588635029994358
