Age,1yr Prob,2yr Prob,3yr Prob,4yr Prob,5yr Prob
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.000644122360975441
12,0.0,0.0,0.0,0.000644122360975441,0.000644122360975441
13,0.0,0.0,0.000644122360975441,0.000644122360975441,0.000644122360975441
14,0.0,0.000644122360975441,0.000644122360975441,0.000644122360975441,0.000644122360975441
15,0.000644122360975441,0.000644122360975441,0.000644122360975441,0.000644122360975441,0.000644122360975441
16,0.0,0.0,0.0,0.0,0.0007487831922572408
17,0.0,0.0,0.0,0.0007487831922572408,0.0007487831922572408
18,0.0,0.0,0.0007487831922572408,0.0007487831922572408,0.0007487831922572408
19,0.0,0.0007487831922572408,0.0007487831922572408,0.0007487831922572408,0.0007487831922572408
20,0.0007487831922572408,0.0007487831922572408,0.0007487831922572408,0.0007487831922572408,0.0007487831922572408
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0006620324154015256
29,0.0,0.0,0.0,0.0006620324154015256,0.0006620324154015256
30,0.0,0.0,0.0006620324154015256,0.0006620324154015256,0.0013655438031513478
31,0.0,0.0006620324154015256,0.0006620324154015256,0.0013655438031513478,0.001999798755591531
32,0.0006620324154015256,0.0006620324154015256,0.0013655438031513478,0.001999798755591531,0.001999798755591531
33,0.0,0.0007039774436372603,0.0013386525715853859,0.0013386525715853859,0.0029301444216354167
34,0.0007039774436372603,0.0013386525715853859,0.0013386525715853859,0.0029301444216354167,0.004460566002098765
35,0.0006351222396787648,0.0006351222396787648,0.002227735253366836,0.0037592349750892318,0.0037592349750892318
36,0.0,0.0015936251604692364,0.0031260981898942886,0.0031260981898942886,0.004233735744554434
37,0.0015936251604692364,0.0031260981898942886,0.0031260981898942886,0.004233735744554434,0.00594614506294322
38,0.0015349191151462493,0.0015349191151462493,0.0026443246463740966,0.004359467259184457,0.005527373908461808
39,0.0,0.0011111109967357757,0.002828890261775685,0.003998592309084392,0.004576486930343959
40,0.0011111109967357757,0.002828890261775685,0.003998592309084392,0.004576486930343959,0.005806923748943094
41,0.0017196900315449293,0.002890693193344007,0.0034692306339157986,0.004701036125142055,0.006517827157564993
42,0.0011730203932761585,0.001752554452793098,0.0029864819167787493,0.004806402648742547,0.005413413058311556
43,0.000580214663149281,0.0018155912490636084,0.00363764929226984,0.004245372573641326,0.006668132027644824
44,0.0012360937856538134,0.003059209627404136,0.0036672857234428813,0.006091451714100082,0.006728776827417793
45,0.0018253721729497574,0.0024342008383183567,0.004861367034026731,0.005499480915948429,0.006779404187150173
