Age,1yr Prob,2yr Prob,3yr Prob,4yr Prob,5yr Prob
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.005063280294548833
7,0.0,0.0,0.0,0.005063280294548833,0.005063280294548833
8,0.0,0.0,0.005063280294548833,0.005063280294548833,0.005063280294548833
9,0.0,0.005063280294548833,0.005063280294548833,0.005063280294548833,0.005063280294548833
10,0.005063280294548833,0.005063280294548833,0.005063280294548833,0.005063280294548833,0.005063280294548833
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.012048046148026681
16,0.0,0.0,0.0,0.012048046148026681,0.012048046148026681
17,0.0,0.0,0.012048046148026681,0.012048046148026681,0.012048046148026681
18,0.0,0.012048046148026681,0.012048046148026681,0.012048046148026681,0.012048046148026681
19,0.012048046148026681,0.012048046148026681,0.012048046148026681,0.012048046148026681,0.012048046148026681
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.002395208434350371
42,0.0,0.0,0.0,0.002395208434350371,0.004796181501600882
43,0.0,0.0,0.002395208434350371,0.004796181501600882,0.004796181501600882
44,0.0,0.002395208434350371,0.004796181501600882,0.004796181501600882,0.009095111383494503
45,0.002395208434350371,0.004796181501600882,0.004796181501600882,0.009095111383494503,0.01332974120113839
46,0.002406737705702433,0.002406737705702433,0.006715989142984435,0.01096078613418372,0.0176359410060708
47,0.0,0.004319647696267914,0.00857468544726181,0.015265944424427857,0.017281775972722846
48,0.004319647696267914,0.00857468544726181,0.015265944424427857,0.017281775972722846,0.019411175407399672
49,0.004273497755729383,0.010993786010573658,0.013018363018275858,0.015157000613915783,0.017382633562553207
50,0.006749130649528201,0.00878239681562798,0.010930213099336061,0.013165398106083526,0.015575249414726211
51,0.002047082191258931,0.004209492867136455,0.006459865935733999,0.008886092162164183,0.011525541752826052
52,0.0021668463885307077,0.004421835605395552,0.006853038704393022,0.009497902548728954,0.009497902548728954
53,0.002259886042775161,0.004696368625257241,0.007346975928455568,0.007346975928455568,0.007346975928455568
